symbol,rows,event_risk_rows,max_event_severity,event_risk_rate
2Z,9254,0,NONE,0.0
ETH,9237,0,NONE,0.0
ZEC,9205,0,NONE,0.0
BTC,9162,0,NONE,0.0
LIT,9055,0,NONE,0.0
SOL,9049,0,NONE,0.0
ENA,9040,0,NONE,0.0
HYPE,9028,0,NONE,0.0
FARTCOIN,8931,0,NONE,0.0
TAO,8926,0,NONE,0.0
kPEPE,8904,0,NONE,0.0
PENGU,8854,0,NONE,0.0
MON,8776,0,NONE,0.0
ZRO,8745,0,NONE,0.0
PUMP,8742,0,NONE,0.0
MEGA,8713,0,NONE,0.0
kBONK,8698,0,NONE,0.0
DOGE,8576,0,NONE,0.0
WLFI,8534,0,NONE,0.0
SUI,8527,0,NONE,0.0
BNB,8495,0,NONE,0.0
AAVE,8488,0,NONE,0.0
XRP,8473,0,NONE,0.0
CHIP,8429,0,NONE,0.0
AVAX,8419,0,NONE,0.0
ICP,8375,0,NONE,0.0
UNI,8372,0,NONE,0.0
CL,8371,0,NONE,0.0
XAG,8325,0,NONE,0.0
LDO,8291,0,NONE,0.0
PIPPIN,8262,0,NONE,0.0
XAU,8193,0,NONE,0.0
XMR,8160,0,NONE,0.0
CRCL,8157,0,NONE,0.0
JUP,8138,0,NONE,0.0
VIRTUAL,8133,0,NONE,0.0
TRUMP,8096,0,NONE,0.0
WIF,8018,0,NONE,0.0
PAXG,8008,0,NONE,0.0
ZK,8002,0,NONE,0.0
ADA,7985,0,NONE,0.0
STRK,7958,0,NONE,0.0
XPL,7949,0,NONE,0.0
LINK,7918,0,NONE,0.0
CRV,7890,0,NONE,0.0
WLD,7873,0,NONE,0.0
HOOD,7848,0,NONE,0.0
ARB,7737,0,NONE,0.0
PLTR,7737,0,NONE,0.0
ASTER,7627,0,NONE,0.0
NEAR,7597,0,NONE,0.0
NVDA,7595,0,NONE,0.0
LTC,7446,0,NONE,0.0
TSLA,7431,0,NONE,0.0
BCH,7379,0,NONE,0.0
NATGAS,7063,0,NONE,0.0
GOOGL,6712,0,NONE,0.0
SP500,6544,0,NONE,0.0
PLATINUM,6419,0,NONE,0.0
USDJPY,6258,0,NONE,0.0
SOL-USDC,6160,0,NONE,0.0
COPPER,5874,0,NONE,0.0
URNM,5650,0,NONE,0.0
EURUSD,5258,0,NONE,0.0
BP,4834,0,NONE,0.0
