symbol,size_usd,horizon,n_windows,n_fillable_with_edge,fillable_frac,slip_median_bps,slip_p90_bps,edge_median_bps,edge_p75_bps,edge_p90_bps,headroom_median_bps,headroom_p75_bps,headroom_p90_bps,frac_positive_headroom,headroom_55_median_bps,headroom_55_p75_bps,headroom_55_p90_bps,frac_pos_acc_55,headroom_575_median_bps,headroom_575_p75_bps,headroom_575_p90_bps,frac_pos_acc_575,headroom_60_median_bps,headroom_60_p75_bps,headroom_60_p90_bps,frac_pos_acc_60
2Z,1000,10,4611,4602,1,10.9224,13.7363,12.6823,24.2033,38.9166,-20.8593,-11.9344,4.42776,0.131465,-32.2563,-28.7011,-25.9958,0.000217297,-31.461,-27.8953,-24.8403,0.000434594,-30.7337,-27.0428,-23.3464,0.00130378
2Z,1000,50,4611,4574,1,10.9224,13.7363,26.3043,50.3402,85.3252,-7.20615,15.7637,51.3176,0.419545,-30.433,-26.575,-22.8326,0.00109314,-28.9281,-24.4703,-19.6958,0.00699606,-27.5702,-22.3026,-15.9538,0.0183647
2Z,1000,100,4611,4537,1,10.9224,13.7363,37.9096,71.8566,117.635,3.94204,37.6895,83.8121,0.546176,-29.1267,-24.8995,-20.3142,0.0044082,-27.3031,-21.834,-15.1963,0.0189553,-25.5524,-18.5223,-9.38716,0.0394534
2Z,1000,500,4611,4203,1,10.9224,13.7363,83.4986,157.882,265.061,50.0528,123.839,229.298,0.777302,-24.5149,-17.409,-8.05727,0.0516298,-20.5781,-10.1645,4.77246,0.128718,-16.7279,-2.4161,17.9098,0.224126
2Z,10000,10,4611,4580,0.995229,19.7808,29.4394,12.6823,24.2033,38.9166,-38.748,-27.8299,-14.3999,0.0467249,-49.7811,-43.8857,-40.2066,0,-48.9202,-43.1064,-39.2905,0.000218341,-48.1068,-42.3197,-38.3048,0.000218341
2Z,10000,50,4611,4552,0.995229,19.7808,29.4394,26.3043,50.3402,85.3252,-25.1961,-2.0369,31.0589,0.233304,-47.7999,-41.9506,-37.8633,0.000219684,-46.2091,-40.2027,-35.2928,0.000439367,-44.6727,-38.3347,-32.5327,0.00285589
2Z,10000,100,4611,4515,0.995229,19.7808,29.4394,37.9096,71.8566,117.635,-14.7014,17.6458,63.1695,0.35969,-46.4071,-40.5461,-36.0753,0.000442968,-44.2586,-38.1027,-31.8038,0.00310078,-42.646,-35.3845,-27.179,0.00819491
2Z,10000,500,4611,4182,0.995229,19.7808,29.4394,83.4986,157.882,265.061,30.2344,105.404,206.657,0.659971,-41.6459,-33.9367,-25.1359,0.0126734,-38.0707,-27.1314,-14.3858,0.0461502,-34.2755,-20.2001,-2.26769,0.0894309
2Z,100000,10,4611,0,0,48.252,79.1026,12.6823,24.2033,38.9166,,,,,,,,,,,,,,,,
2Z,100000,50,4611,0,0,48.252,79.1026,26.3043,50.3402,85.3252,,,,,,,,,,,,,,,,
2Z,100000,100,4611,0,0,48.252,79.1026,37.9096,71.8566,117.635,,,,,,,,,,,,,,,,
2Z,100000,500,4611,0,0,48.252,79.1026,83.4986,157.882,265.061,,,,,,,,,,,,,,,,
AAVE,1000,10,5195,5184,1,2.85474,4.06886,8.46218,16.1894,27.4255,-9.0407,-1.50844,9.17218,0.218557,-16.6683,-15.3754,-13.9442,0.000192901,-16.1699,-14.6647,-12.9436,0.000578704,-15.7071,-13.98,-11.8845,0.00231481
AAVE,1000,50,5195,5153,1,2.85474,4.06886,18.3055,35.9439,61.72,0.745844,18.0894,43.0153,0.516786,-15.5952,-13.639,-11.256,0.00388123,-14.6581,-12.007,-8.56666,0.0174656,-13.743,-10.3025,-5.73887,0.0393945
AAVE,1000,100,5195,5107,1,2.85474,4.06886,26.8457,50.3356,85.7155,9.13055,32.652,67.1426,0.641277,-14.7975,-12.3672,-9.0613,0.0135109,-13.5121,-10.0136,-5.09001,0.0469943,-12.2192,-7.62643,-0.938997,0.0879185
AAVE,1000,500,5195,4773,1,2.85474,4.06886,57.5298,110.68,193.977,39.8886,93.1255,175.628,0.822753,-11.7759,-6.54587,1.00425,0.115022,-8.9898,-1.0421,10.8783,0.227739,-6.16486,4.67936,20.4695,0.332076
AAVE,10000,10,5195,5180,0.99923,3.89034,5.15495,8.46218,16.1894,27.4255,-11.1835,-3.84306,6.92554,0.181274,-18.6253,-17.4868,-16.4138,0,-18.1677,-16.859,-15.4905,0.0003861,-17.7312,-16.2234,-14.3909,0.000772201
AAVE,10000,50,5195,5149,0.99923,3.89034,5.15495,18.3055,35.9439,61.72,-1.38072,15.5159,40.5486,0.469994,-17.5398,-15.9324,-13.9213,0.00233055,-16.7306,-14.389,-11.195,0.0110701,-15.893,-12.7524,-8.30461,0.027384
AAVE,10000,100,5195,5103,0.99923,3.89034,5.15495,26.8457,50.3356,85.7155,6.91395,30.1716,64.835,0.612189,-16.8384,-14.6917,-11.6531,0.00783853,-15.6166,-12.3641,-7.58291,0.0313541,-14.313,-9.9185,-3.31893,0.0652557
AAVE,10000,500,5195,4770,0.99923,3.89034,5.15495,57.5298,110.68,193.977,37.8077,91.0192,173.18,0.803354,-13.9837,-8.94783,-1.4156,0.0886792,-11.1542,-3.41218,8.41531,0.188889,-8.27332,2.12056,18.1394,0.286164
AAVE,100000,10,5195,3518,0.678152,6.89493,9.8932,8.46218,16.1894,27.4255,-15.1734,-8.79547,0.404808,0.102615,-23.4065,-19.5916,-18.5001,0,-22.436,-19.199,-17.9677,0,-21.5695,-18.7859,-17.3003,0
AAVE,100000,50,5195,3500,0.678152,6.89493,9.8932,18.3055,35.9439,61.72,-6.69566,8.61289,31.6994,0.365714,-21.2268,-18.6708,-17.1437,0.000571429,-20.0559,-17.7179,-15.3225,0.00371429,-19.1822,-16.4058,-13.1579,0.0108571
AAVE,100000,100,5195,3471,0.678152,6.89493,9.8932,26.8457,50.3356,85.7155,1.11418,22.5076,55.2302,0.523768,-20.2395,-17.9109,-15.5642,0.00288101,-19.0492,-16.2232,-12.5317,0.0121003,-18.0334,-14.2594,-9.1434,0.0348603
AAVE,100000,500,5195,3283,0.678152,6.89493,9.8932,57.5298,110.68,193.977,30.3538,78.7484,161.634,0.747792,-17.6098,-13.1477,-6.68993,0.0459945,-15.2285,-8.41099,2.35725,0.120926,-12.6712,-3.60705,11.327,0.194944
ASTER,1000,10,5204,5195,0.999808,5.5189,8.48128,12.0231,22.6266,37.4839,-11.0696,-0.734915,12.8918,0.239076,-21.4699,-19.0656,-17.2126,0,-20.7188,-18.3317,-16.1771,0.000769971,-20.0812,-17.5182,-14.876,0.00192493
ASTER,1000,50,5204,5166,0.999808,5.5189,8.48128,25.9436,48.3253,79.0741,2.70925,24.5321,54.7113,0.545683,-19.864,-17.2452,-14.398,0.00309717,-18.6386,-15.2843,-11.1392,0.0149051,-17.5179,-13.1817,-7.61181,0.0340689
ASTER,1000,100,5204,5132,0.999808,5.5189,8.48128,37.1192,70.3547,116.047,13.8784,46.3925,92.1721,0.672642,-18.7714,-15.2692,-11.3036,0.0130553,-17.1163,-12.1659,-6.06732,0.0422837,-15.3357,-8.85558,-0.505294,0.0954793
ASTER,1000,500,5204,4798,0.999808,5.5189,8.48128,79.5215,153.17,253.276,56.0859,128.837,228.367,0.837224,-15.0002,-8.12579,1.4597,0.113797,-11.2393,-0.570261,13.7559,0.240725,-7.31018,6.86633,26.1874,0.349937
ASTER,10000,10,5204,5098,0.980976,8.4954,12.968,12.0231,22.6266,37.4839,-17.23,-7.2083,6.29811,0.148293,-27.4237,-24.9122,-23.2344,0,-26.7844,-24.1726,-22.1854,0,-26.107,-23.4565,-21.074,0.000392311
ASTER,10000,50,5204,5069,0.980976,8.4954,12.968,25.9436,48.3253,79.0741,-3.5334,17.8496,47.6493,0.441902,-25.9555,-23.1273,-20.5214,0.000591833,-24.7,-21.3378,-17.3899,0.00512922,-23.5809,-19.4035,-13.9341,0.016374
ASTER,10000,100,5204,5035,0.980976,8.4954,12.968,37.1192,70.3547,116.047,7.30975,40.0553,84.4743,0.585501,-24.8581,-21.4848,-17.4824,0.00377358,-23.235,-18.5731,-12.247,0.0182721,-21.5487,-15.4387,-6.84886,0.0476663
ASTER,10000,500,5204,4705,0.980976,8.4954,12.968,79.5215,153.17,253.276,49.1124,122.383,219.74,0.793836,-21.1716,-14.4017,-5.60667,0.0575983,-17.5907,-7.13294,6.3982,0.152179,-13.8028,0.378794,18.5224,0.255473
ASTER,100000,10,5204,0,0,12.6833,18.4069,12.0231,22.6266,37.4839,,,,,,,,,,,,,,,,
ASTER,100000,50,5204,0,0,12.6833,18.4069,25.9436,48.3253,79.0741,,,,,,,,,,,,,,,,
ASTER,100000,100,5204,0,0,12.6833,18.4069,37.1192,70.3547,116.047,,,,,,,,,,,,,,,,
ASTER,100000,500,5204,0,0,12.6833,18.4069,79.5215,153.17,253.276,,,,,,,,,,,,,,,,
AVAX,1000,10,4745,4735,1,3.45372,4.80611,6.7789,13.663,22.9909,-11.8447,-5.44242,3.47847,0.138965,-17.8931,-16.5998,-15.5092,0,-17.4575,-16.1158,-14.808,0.00063358,-17.067,-15.5719,-13.9812,0.00168955
AVAX,1000,50,4745,4703,1,3.45372,4.80611,15.5863,31.3603,53.6681,-3.29357,11.9433,33.8732,0.430789,-16.8596,-15.2633,-13.2492,0.00233893,-16.1281,-13.9688,-10.9279,0.00871784,-15.4371,-12.5361,-8.43421,0.0214757
