symbol,horizon,offset_bps,n_windows,fill_rate_bid,fill_rate_ask,fill_rate_either,mean_pnl_bid_filled,median_pnl_bid_filled,q25_pnl_bid_filled,q75_pnl_bid_filled,mean_pnl_ask_filled,median_pnl_ask_filled,q25_pnl_ask_filled,q75_pnl_ask_filled,mean_pnl_either_filled,median_pnl_either_filled,unconditional_maker_pnl_bps,model_accuracy_breakeven
2Z,10,1,4602,0.336375,0.327901,0.612125,-16.1574,-14.0223,-26.258,1.0001,-14.5087,-12.6227,-26.1713,0.9999,-15.3436,-13.2565,-8.09618,0.402239
2Z,10,2,4602,0.335941,0.326814,0.610821,-15.1526,-13.0235,-25.253,2.0004,-13.5696,-11.6309,-25.1781,1.9996,-14.372,-12.2704,-7.76256,0.39563
2Z,10,5,4602,0.269665,0.255541,0.498696,-15.745,-12.0418,-26.3611,-2.83227,-14.0904,-11.9864,-27.0815,0.625224,-14.94,-12.008,-6.92329,0.399598
2Z,50,1,4574,0.661565,0.616528,0.958898,-19.6255,-17.0686,-43.0475,1.0001,-14.0528,-12.0878,-37.9193,12.5491,-16.9373,-15.1536,-13.8237,0.411438
2Z,50,2,4574,0.660909,0.615654,0.958242,-18.6464,-16.0701,-42.1002,2.0004,-13.0998,-11.124,-36.9536,13.2982,-15.9714,-14.1849,-13.1942,0.406082
2Z,50,5,4574,0.601006,0.549847,0.914954,-19.1749,-18.7248,-42.6817,5.0025,-13.8805,-11.5414,-36.3725,13.0841,-16.6454,-14.3308,-12.5782,0.409885
2Z,100,1,4537,0.75292,0.710822,0.990522,-19.7526,-20.6424,-54.2995,13.2151,-15.5115,-12.3976,-46.9953,24.3803,-17.6931,-15.8083,-15.9491,0.415221
2Z,100,2,4537,0.7527,0.70994,0.990522,-18.7582,-19.6489,-53.3066,14.2203,-14.5803,-11.4145,-45.9908,25.305,-16.7303,-14.8279,-15.2352,0.410342
2Z,100,5,4537,0.7095,0.663434,0.979943,-19.4651,-20.0225,-53.2629,13.1368,-15.2671,-11.5963,-46.5841,22.3199,-17.4366,-16.5713,-14.9696,0.413974
2Z,500,1,4203,0.886272,0.858672,0.996907,-23.1538,-26.6575,-105.932,45.2244,-13.5642,-5.34867,-84.3806,74.3871,-18.4349,-16.3972,-19.0839,0.418632
2Z,500,2,4203,0.886272,0.858197,0.996907,-22.1559,-25.66,-104.943,46.2291,-12.6364,-4.35641,-83.3764,75.2854,-17.4727,-15.4109,-18.2403,0.414152
2Z,500,5,4203,0.865334,0.833452,0.996907,-22.9701,-27.4945,-103.984,44.9161,-13.6391,-3.94258,-84.0118,73.9815,-18.3922,-16.7308,-18.6222,0.418444
AAVE,10,1,5184,0.546682,0.54186,0.893133,-5.42507,-4.74618,-13.2124,3.18374,-5.66795,-4.6929,-13.392,2.88215,-5.54597,-4.72791,-6.01851,0.229533
AAVE,10,2,5184,0.499614,0.493248,0.846065,-5.23094,-4.45729,-13.2005,3.71374,-5.60603,-4.54574,-13.3901,3.13335,-5.41728,-4.46962,-5.68931,0.223109
