symbol,horizon,signal_kind,percentile_cutoff,n_total_windows,n_extreme_windows,extreme_frequency,mean_signed_return_extreme,median_signed_return_extreme,p25_signed_return_extreme,p75_signed_return_extreme,frac_positive_signed_return_extreme,gross_extreme_bps,cost_round_trip_bps,headroom_extreme_bps,per_day_expected_gross_bps
2Z,10,open,0.9,4403,430,0.0976607,-2.27635,0,-15.9377,10.8955,0.395349,2.27635,10,-7.72365,-0.754297
2Z,50,open,0.9,4375,426,0.0973714,-1.17598,0,-26.8367,25.3532,0.467136,1.17598,10,-8.82402,-0.859208
2Z,100,open,0.9,4338,424,0.0977409,3.31357,-1.16415e-06,-35.6197,34.5019,0.478774,3.31357,10,-6.68643,-0.653538
2Z,500,open,0.9,4010,398,0.0992519,24.7186,7.04506,-86.8786,101.457,0.527638,24.7186,10,14.7186,1.46084
AAVE,10,open,0.9,4985,518,0.103912,0.326626,0.560755,-8.66292,9.06738,0.513514,0.326626,10,-9.67337,-1.00518
AAVE,50,open,0.9,4955,514,0.103734,1.19913,2.1704,-20.1332,21.969,0.538911,1.19913,10,-8.80087,-0.912946
AAVE,100,open,0.9,4909,509,0.103687,-1.20786,-1.6826,-29.615,26.1343,0.491159,1.20786,10,-8.79214,-0.911632
AAVE,500,open,0.9,4581,469,0.102379,-5.89666,-7.86713,-68.2675,56.0947,0.464819,5.89666,10,-4.10334,-0.420097
ASTER,10,open,0.9,4997,487,0.0974585,0.929177,0.140973,-10.6092,11.5329,0.513347,0.929177,10,-9.07082,-0.884029
ASTER,50,open,0.9,4969,484,0.0974039,-0.251416,-0.095172,-24.1315,24.6319,0.493802,0.251416,10,-9.74858,-0.94955
ASTER,100,open,0.9,4936,480,0.0972447,-2.74647,-2.2497,-35.2156,27.4772,0.464583,2.74647,10,-7.25353,-0.705367
ASTER,500,open,0.9,4608,443,0.0961372,0.855648,0.54984,-76.4769,73.735,0.505643,0.855648,10,-9.14435,-0.879112
AVAX,10,open,0.9,4537,471,0.103813,-0.428663,0,-6.05593,6.70733,0.484076,0.428663,10,-9.57134,-0.99363
AVAX,50,open,0.9,4505,467,0.103663,0.755444,1.11068,-13.4761,15.603,0.526767,0.755444,10,-9.24456,-0.958315
AVAX,100,open,0.9,4473,464,0.103734,1.78044,-2.18279e-07,-20.0863,21.1444,0.493534,1.78044,10,-8.21956,-0.852643
AVAX,500,open,0.9,4145,431,0.103981,3.83294,2.46214,-45.7243,52.557,0.515081,3.83294,10,-6.16706,-0.641255
BNB,10,open,0.9,5695,579,0.101668,-0.12142,0.0915772,-4.72207,4.96038,0.506045,0.12142,10,-9.87858,-1.00434
BNB,50,open,0.9,5668,575,0.101447,0.193751,0.355592,-10.4401,10.0894,0.514783,0.193751,10,-9.80625,-0.994812
BNB,100,open,0.9,5624,569,0.101174,1.8884,1.80005,-13.4088,16.9817,0.539543,1.8884,10,-8.1116,-0.82068
BNB,500,open,0.9,5296,523,0.0987538,-1.46256,-2.83949,-38.5107,35.9733,0.48566,1.46256,10,-8.53744,-0.843105
BTC,10,open,0.9,16706,1556,0.0931402,0.00478478,2.77556e-12,-2.1407,2.01895,0.50964,0.00478478,10,-9.99522,-0.930956
BTC,50,open,0.9,16673,1554,0.0932046,0.557807,0.158078,-5.00991,5.89609,0.51094,0.557807,10,-9.44219,-0.880056
BTC,100,open,0.9,16634,1549,0.0931225,0.448215,0.339864,-7.97766,8.70271,0.515171,0.448215,10,-9.55178,-0.889486
BTC,500,open,0.9,16302,1520,0.0932401,1.01427,0.0700308,-16.1422,18.9519,0.501974,1.01427,10,-8.98573,-0.83783
CRV,10,open,0.9,4410,0,0,,,,,,,10,,
CRV,50,open,0.9,4376,0,0,,,,,,,10,,
CRV,100,open,0.9,4347,0,0,,,,,,,10,,
CRV,500,open,0.9,4019,0,0,,,,,,,10,,
DOGE,10,open,0.9,4532,484,0.106796,-1.14615,2.91038e-07,-7.76719,7.89895,0.508264,1.14615,10,-8.85385,-0.945556
DOGE,50,open,0.9,4498,483,0.107381,1.69738,3.71517,-12.4444,20.1454,0.57971,1.69738,10,-8.30262,-0.891544
DOGE,100,open,0.9,4449,479,0.107665,3.47398,3.14432,-20.5929,24.4532,0.546973,3.47398,10,-6.52602,-0.702621
DOGE,500,open,0.9,4121,447,0.108469,1.14687,-2.15959,-46.8182,37.7593,0.480984,1.14687,10,-8.85313,-0.960289
ENA,10,open,0.9,5312,502,0.094503,-0.170846,-2.18279e-07,-8.68257,7.82967,0.488048,0.170846,10,-9.82915,-0.928885
ENA,50,open,0.9,5281,497,0.094111,3.06751,0.979864,-17.8133,20.5262,0.525151,3.06751,10,-6.93249,-0.652424
ENA,100,open,0.9,5243,493,0.0940301,2.44526,-3.08404,-29.4163,24.6644,0.472617,2.44526,10,-7.55474,-0.710373
ENA,500,open,0.9,4915,460,0.093591,11.5882,-1.30806,-56.3418,66.3448,0.493478,11.5882,10,1.58821,0.148642
ETH,10,open,0.9,15602,1374,0.0880656,0.0591237,0,-3.2914,3.05434,0.494905,0.0591237,10,-9.94088,-0.87545
ETH,50,open,0.9,15571,1370,0.0879841,0.712306,7.95802e-08,-7.24749,8.15445,0.509489,0.712306,10,-9.28769,-0.817169
ETH,100,open,0.9,15527,1364,0.087847,1.36695,0.494906,-9.43028,11.6912,0.515396,1.36695,10,-8.63305,-0.758387
ETH,500,open,0.9,15195,1321,0.0869365,1.64248,-0.251159,-23.9001,24.9857,0.499621,1.64248,10,-8.35752,-0.726573
FARTCOIN,10,open,0.9,4881,216,0.0442532,-0.96143,0,-15.0269,16.682,0.476852,0.96143,10,-9.03857,-0.399986
FARTCOIN,50,open,0.9,4849,214,0.0441328,3.70028,3.18269,-35.4202,38.3208,0.518692,3.70028,10,-6.29972,-0.278024
FARTCOIN,100,open,0.9,4809,211,0.0438761,4.21615,6.96622,-43.519,49.3358,0.535545,4.21615,10,-5.78385,-0.253773
FARTCOIN,500,open,0.9,4481,187,0.0417318,21.4762,35.4768,-76.2123,137.12,0.59893,21.4762,10,11.4762,0.478923
HYPE,10,open,0.9,10860,1086,0.1,0.478988,1.45519e-07,-7.79599,8.51293,0.508287,0.478988,10,-9.52101,-0.952101
