symbol,fold_idx,n_pos,n_neg,auc_adapter_seed0,auc_adapter_seed1,auc_adapter_seed2,auc_adapter_median,auc_flat_LR
2Z,0,0,33,,,,,
2Z,1,0,31,,,,,
2Z,2,0,27,,,,,
2Z,3,0,9,,,,,
2Z,4,0,9,,,,,
AAVE,0,5,28,0.38571428571428573,0.7428571428571429,0.3142857142857143,0.3142857142857143,0.4428571428571429
AAVE,1,2,30,0.2833333333333334,0.3833333333333333,0.6666666666666666,0.6666666666666666,0.4
AAVE,2,4,24,0.4166666666666667,0.4895833333333333,0.6041666666666667,0.6041666666666667,0.65625
AAVE,3,0,9,,,,,
AAVE,4,0,9,,,,,
ASTER,0,0,34,,,,,
ASTER,1,0,32,,,,,
ASTER,2,0,27,,,,,
ASTER,3,0,9,,,,,
ASTER,4,0,9,,,,,
AVAX,0,1,33,0.9090909090909091,0.9696969696969697,0.2727272727272727,0.2727272727272727,0.8787878787878788
AVAX,1,0,31,,,,,
AVAX,2,3,23,0.42028985507246375,0.7246376811594203,0.34782608695652173,0.34782608695652173,0.9565217391304348
AVAX,3,0,9,,,,,
AVAX,4,0,9,,,,,
BNB,0,2,24,0.20833333333333337,0.7708333333333333,0.7916666666666666,0.7916666666666666,0.5625
BNB,1,0,29,,,,,
BNB,2,3,25,0.6000000000000001,0.7866666666666667,0.6266666666666667,0.6266666666666667,0.8933333333333333
BNB,3,0,10,,,,,
BNB,4,0,10,,,,,
BTC,0,5,50,0.5720000000000001,0.62,0.428,0.428,0.728
BTC,1,12,49,0.6224489795918366,0.7210884353741497,0.6020408163265306,0.6020408163265306,0.6105442176870749
BTC,2,12,45,0.3888888888888889,0.4537037037037037,0.47777777777777786,0.47777777777777786,0.5055555555555556
BTC,3,6,21,0.6746031746031746,0.5555555555555556,0.8095238095238095,0.8095238095238095,0.3968253968253968
BTC,4,2,16,0.96875,0.71875,0.625,0.625,0.4375
CRV,0,0,34,,,,,
CRV,1,0,31,,,,,
CRV,2,0,26,,,,,
CRV,3,0,9,,,,,
CRV,4,0,10,,,,,
DOGE,0,0,33,,,,,
DOGE,1,0,32,,,,,
DOGE,2,0,27,,,,,
DOGE,3,0,9,,,,,
DOGE,4,0,10,,,,,
ENA,0,0,46,,,,,
ENA,1,3,34,0.12745098039215685,0.21568627450980393,0.4215686274509804,0.4215686274509804,0.5294117647058824
ENA,2,3,25,0.4933333333333333,0.4933333333333333,0.29333333333333333,0.29333333333333333,0.6133333333333333
ENA,3,0,9,,,,,
ENA,4,0,10,,,,,
ETH,0,7,43,0.6843853820598006,0.6312292358803987,0.8139534883720929,0.8139534883720929,0.8372093023255814
ETH,1,9,47,0.28132387706855794,0.3451536643026004,0.48463356973995275,0.48463356973995275,0.7021276595744681
ETH,2,15,35,0.47428571428571425,0.47238095238095235,0.3904761904761905,0.3904761904761905,0.5638095238095238
ETH,3,7,17,0.4621848739495798,0.5126050420168067,0.5798319327731092,0.5798319327731092,0.6302521008403361
ETH,4,1,14,1.0,1.0,1.0,1.0,0.8571428571428572
FARTCOIN,0,0,72,,,,,
FARTCOIN,1,2,66,0.5227272727272727,0.5454545454545454,0.6818181818181819,0.6818181818181819,0.7803030303030303
FARTCOIN,2,0,47,,,,,
FARTCOIN,3,0,15,,,,,
FARTCOIN,4,0,16,,,,,
HYPE,0,2,58,0.3620689655172414,0.07758620689655171,0.12931034482758624,0.12931034482758624,0.603448275862069
