symbol,fold_idx,n_pos,n_neg,auc_fold,model_name
2Z,0,0,33,,flat_LR
2Z,1,0,31,,flat_LR
2Z,2,0,27,,flat_LR
2Z,3,0,9,,flat_LR
2Z,4,0,9,,flat_LR
AAVE,0,5,28,0.4428571428571429,flat_LR
AAVE,1,2,30,0.4,flat_LR
AAVE,2,4,24,0.65625,flat_LR
AAVE,3,0,9,,flat_LR
AAVE,4,0,9,,flat_LR
ASTER,0,0,34,,flat_LR
ASTER,1,0,32,,flat_LR
ASTER,2,0,27,,flat_LR
ASTER,3,0,9,,flat_LR
ASTER,4,0,9,,flat_LR
AVAX,0,1,33,0.8787878787878788,flat_LR
AVAX,1,0,31,,flat_LR
AVAX,2,3,23,0.9565217391304348,flat_LR
AVAX,3,0,9,,flat_LR
AVAX,4,0,9,,flat_LR
BNB,0,2,24,0.5625,flat_LR
BNB,1,0,29,,flat_LR
BNB,2,3,25,0.8933333333333333,flat_LR
BNB,3,0,10,,flat_LR
BNB,4,0,10,,flat_LR
BTC,0,5,50,0.728,flat_LR
BTC,1,12,49,0.6105442176870749,flat_LR
BTC,2,12,45,0.5055555555555556,flat_LR
BTC,3,6,21,0.3968253968253968,flat_LR
BTC,4,2,16,0.4375,flat_LR
CRV,0,0,34,,flat_LR
CRV,1,0,31,,flat_LR
CRV,2,0,26,,flat_LR
CRV,3,0,9,,flat_LR
CRV,4,0,10,,flat_LR
DOGE,0,0,33,,flat_LR
DOGE,1,0,32,,flat_LR
DOGE,2,0,27,,flat_LR
DOGE,3,0,9,,flat_LR
DOGE,4,0,10,,flat_LR
ENA,0,0,46,,flat_LR
ENA,1,3,34,0.5294117647058824,flat_LR
ENA,2,3,25,0.6133333333333333,flat_LR
ENA,3,0,9,,flat_LR
ENA,4,0,10,,flat_LR
ETH,0,7,43,0.8372093023255814,flat_LR
ETH,1,9,47,0.7021276595744681,flat_LR
ETH,2,15,35,0.5638095238095238,flat_LR
ETH,3,7,17,0.6302521008403361,flat_LR
ETH,4,1,14,0.8571428571428572,flat_LR
FARTCOIN,0,0,72,,flat_LR
FARTCOIN,1,2,66,0.7803030303030303,flat_LR
FARTCOIN,2,0,47,,flat_LR
FARTCOIN,3,0,15,,flat_LR
FARTCOIN,4,0,16,,flat_LR
HYPE,0,2,58,0.603448275862069,flat_LR
HYPE,1,13,70,0.5703296703296703,flat_LR
HYPE,2,7,48,0.5327380952380952,flat_LR
HYPE,3,4,20,0.5,flat_LR
HYPE,4,0,13,,flat_LR
KBONK,0,0,42,,flat_LR
KBONK,1,0,41,,flat_LR
KBONK,2,0,39,,flat_LR
KBONK,3,0,17,,flat_LR
KBONK,4,0,17,,flat_LR
KPEPE,0,0,43,,flat_LR
KPEPE,1,0,41,,flat_LR
KPEPE,2,0,39,,flat_LR
KPEPE,3,0,17,,flat_LR
KPEPE,4,0,17,,flat_LR
LDO,0,0,33,,flat_LR
LDO,1,0,31,,flat_LR
LDO,2,0,26,,flat_LR
LDO,3,0,9,,flat_LR
LDO,4,0,9,,flat_LR
LINK,0,0,34,,flat_LR
LINK,1,0,31,,flat_LR
LINK,2,0,27,,flat_LR
LINK,3,0,9,,flat_LR
LINK,4,0,9,,flat_LR
LTC,0,0,32,,flat_LR
LTC,1,0,31,,flat_LR
LTC,2,0,26,,flat_LR
LTC,3,0,9,,flat_LR
LTC,4,0,9,,flat_LR
PENGU,0,0,32,,flat_LR
PENGU,1,0,31,,flat_LR
PENGU,2,3,24,0.9027777777777778,flat_LR
PENGU,3,0,9,,flat_LR
PENGU,4,0,9,,flat_LR
PUMP,0,0,34,,flat_LR
PUMP,1,0,34,,flat_LR
PUMP,2,2,26,0.846153846153846,flat_LR
PUMP,3,0,9,,flat_LR
PUMP,4,0,10,,flat_LR
SOL,0,3,36,0.2777777777777778,flat_LR
SOL,1,9,35,0.638095238095238,flat_LR
SOL,2,9,32,0.6805555555555556,flat_LR
SOL,3,0,19,,flat_LR
SOL,4,0,12,,flat_LR
SUI,0,0,34,,flat_LR
SUI,1,0,33,,flat_LR
SUI,2,4,24,0.9791666666666667,flat_LR
SUI,3,0,9,,flat_LR
SUI,4,0,10,,flat_LR
UNI,0,0,34,,flat_LR
UNI,1,0,31,,flat_LR
UNI,2,0,27,,flat_LR
UNI,3,0,9,,flat_LR
UNI,4,0,9,,flat_LR
WLFI,0,0,34,,flat_LR
WLFI,1,0,32,,flat_LR
WLFI,2,0,26,,flat_LR
WLFI,3,0,9,,flat_LR
WLFI,4,0,9,,flat_LR
XPL,0,0,33,,flat_LR
XPL,1,0,31,,flat_LR
XPL,2,0,27,,flat_LR
XPL,3,0,10,,flat_LR
XPL,4,0,10,,flat_LR
XRP,0,0,26,,flat_LR
XRP,1,1,27,0.11111111111111116,flat_LR
XRP,2,8,29,0.6767241379310345,flat_LR
XRP,3,0,13,,flat_LR
XRP,4,0,10,,flat_LR
2Z,0,0,33,,encoder_seed0
2Z,1,0,31,,encoder_seed0
2Z,2,0,27,,encoder_seed0
2Z,3,0,9,,encoder_seed0
2Z,4,0,9,,encoder_seed0
AAVE,0,5,28,0.4642857142857143,encoder_seed0
AAVE,1,2,30,0.5666666666666667,encoder_seed0
AAVE,2,4,24,0.625,encoder_seed0
AAVE,3,0,9,,encoder_seed0
AAVE,4,0,9,,encoder_seed0
ASTER,0,0,34,,encoder_seed0
ASTER,1,0,32,,encoder_seed0
ASTER,2,0,27,,encoder_seed0
ASTER,3,0,9,,encoder_seed0
ASTER,4,0,9,,encoder_seed0
AVAX,0,1,33,0.6363636363636364,encoder_seed0
AVAX,1,0,31,,encoder_seed0
AVAX,2,3,23,0.13043478260869562,encoder_seed0
AVAX,3,0,9,,encoder_seed0
AVAX,4,0,9,,encoder_seed0
BNB,0,2,24,0.875,encoder_seed0
BNB,1,0,29,,encoder_seed0
BNB,2,3,25,0.6133333333333334,encoder_seed0
BNB,3,0,10,,encoder_seed0
BNB,4,0,10,,encoder_seed0
BTC,0,5,50,0.456,encoder_seed0
BTC,1,12,49,0.6258503401360543,encoder_seed0
BTC,2,12,45,0.4148148148148148,encoder_seed0
BTC,3,6,21,0.253968253968254,encoder_seed0
BTC,4,2,16,0.59375,encoder_seed0
CRV,0,0,34,,encoder_seed0
CRV,1,0,31,,encoder_seed0
CRV,2,0,26,,encoder_seed0
CRV,3,0,9,,encoder_seed0
CRV,4,0,10,,encoder_seed0
DOGE,0,0,33,,encoder_seed0
DOGE,1,0,32,,encoder_seed0
DOGE,2,0,27,,encoder_seed0
DOGE,3,0,9,,encoder_seed0
DOGE,4,0,10,,encoder_seed0
ENA,0,0,46,,encoder_seed0
ENA,1,3,34,0.19607843137254902,encoder_seed0
ENA,2,3,25,0.43999999999999995,encoder_seed0
ENA,3,0,9,,encoder_seed0
ENA,4,0,10,,encoder_seed0
ETH,0,7,43,0.3322259136212624,encoder_seed0
ETH,1,9,47,0.24113475177304963,encoder_seed0
ETH,2,15,35,0.6590476190476191,encoder_seed0
ETH,3,7,17,0.5714285714285714,encoder_seed0
ETH,4,1,14,1.0,encoder_seed0
FARTCOIN,0,0,72,,encoder_seed0
FARTCOIN,1,2,66,0.75,encoder_seed0
FARTCOIN,2,0,47,,encoder_seed0
FARTCOIN,3,0,15,,encoder_seed0
FARTCOIN,4,0,16,,encoder_seed0
HYPE,0,2,58,0.11206896551724138,encoder_seed0
HYPE,1,13,70,0.6175824175824176,encoder_seed0
HYPE,2,7,48,0.40773809523809523,encoder_seed0
HYPE,3,4,20,0.47500000000000003,encoder_seed0
HYPE,4,0,13,,encoder_seed0
KBONK,0,0,42,,encoder_seed0
KBONK,1,0,41,,encoder_seed0
KBONK,2,0,39,,encoder_seed0
KBONK,3,0,17,,encoder_seed0
KBONK,4,0,17,,encoder_seed0
KPEPE,0,0,43,,encoder_seed0
KPEPE,1,0,41,,encoder_seed0
KPEPE,2,0,39,,encoder_seed0
KPEPE,3,0,17,,encoder_seed0
KPEPE,4,0,17,,encoder_seed0
LDO,0,0,33,,encoder_seed0
LDO,1,0,31,,encoder_seed0
LDO,2,0,26,,encoder_seed0
LDO,3,0,9,,encoder_seed0
LDO,4,0,9,,encoder_seed0
LINK,0,0,34,,encoder_seed0
LINK,1,0,31,,encoder_seed0
LINK,2,0,27,,encoder_seed0
LINK,3,0,9,,encoder_seed0
LINK,4,0,9,,encoder_seed0
LTC,0,0,32,,encoder_seed0
LTC,1,0,31,,encoder_seed0
LTC,2,0,26,,encoder_seed0
LTC,3,0,9,,encoder_seed0
LTC,4,0,9,,encoder_seed0
PENGU,0,0,32,,encoder_seed0
PENGU,1,0,31,,encoder_seed0
PENGU,2,3,24,0.29166666666666663,encoder_seed0
PENGU,3,0,9,,encoder_seed0
PENGU,4,0,9,,encoder_seed0
PUMP,0,0,34,,encoder_seed0
PUMP,1,0,34,,encoder_seed0
PUMP,2,2,26,0.3269230769230769,encoder_seed0
PUMP,3,0,9,,encoder_seed0
PUMP,4,0,10,,encoder_seed0
SOL,0,3,36,0.34259259259259256,encoder_seed0
SOL,1,9,35,0.7333333333333334,encoder_seed0
SOL,2,9,32,0.8402777777777778,encoder_seed0
SOL,3,0,19,,encoder_seed0
SOL,4,0,12,,encoder_seed0
SUI,0,0,34,,encoder_seed0
SUI,1,0,33,,encoder_seed0
SUI,2,4,24,0.5833333333333334,encoder_seed0
SUI,3,0,9,,encoder_seed0
SUI,4,0,10,,encoder_seed0
UNI,0,0,34,,encoder_seed0
UNI,1,0,31,,encoder_seed0
UNI,2,0,27,,encoder_seed0
UNI,3,0,9,,encoder_seed0
UNI,4,0,9,,encoder_seed0
WLFI,0,0,34,,encoder_seed0
WLFI,1,0,32,,encoder_seed0
WLFI,2,0,26,,encoder_seed0
WLFI,3,0,9,,encoder_seed0
WLFI,4,0,9,,encoder_seed0
XPL,0,0,33,,encoder_seed0
XPL,1,0,31,,encoder_seed0
XPL,2,0,27,,encoder_seed0
XPL,3,0,10,,encoder_seed0
XPL,4,0,10,,encoder_seed0
XRP,0,0,26,,encoder_seed0
XRP,1,1,27,0.4814814814814815,encoder_seed0
XRP,2,8,29,0.6551724137931034,encoder_seed0
XRP,3,0,13,,encoder_seed0
XRP,4,0,10,,encoder_seed0
2Z,0,0,33,,encoder_seed1
2Z,1,0,31,,encoder_seed1
2Z,2,0,27,,encoder_seed1
2Z,3,0,9,,encoder_seed1
