symbol,local_raw,live_info,live_prices
2Z,True,True,True
AAVE,True,True,True
ADA,True,True,True
ARB,True,True,True
ASTER,True,True,True
AVAX,True,True,True
BCH,True,True,True
BNB,True,True,True
BP,True,True,True
BTC,True,True,True
CHIP,False,True,True
CL,True,True,True
COPPER,True,True,True
CRCL,True,True,True
CRV,True,True,True
DOGE,True,True,True
ENA,True,True,True
ETH,True,True,True
EURUSD,True,True,True
FARTCOIN,True,True,True
GOOGL,True,True,True
HOOD,True,True,True
HYPE,True,True,True
ICP,True,True,True
JUP,True,True,True
KBONK,True,False,False
KPEPE,True,False,False
LDO,True,True,True
LINK,True,True,True
LIT,True,True,True
LTC,True,True,True
MEGA,True,True,True
MON,True,True,True
NATGAS,True,True,True
NEAR,True,True,True
NVDA,True,True,True
PAXG,True,True,True
PENGU,True,True,True
PIPPIN,True,True,True
PLATINUM,True,True,True
PLTR,True,True,True
PUMP,True,True,True
SOL,True,True,True
SOL-USDC,False,True,True
SP500,True,True,True
STRK,True,True,True
SUI,True,True,True
TAO,True,True,True
TRUMP,True,True,True
TSLA,True,True,True
UNI,True,True,True
URNM,True,True,True
USDJPY,True,True,True
VIRTUAL,True,True,True
WIF,True,True,True
WLD,True,True,True
WLFI,True,True,True
XAG,True,True,True
XAU,True,True,True
XMR,True,True,True
XPL,True,True,True
XRP,True,True,True
ZEC,True,True,True
ZK,True,True,True
ZRO,True,True,True
kBONK,False,True,True
kPEPE,False,True,True
