symbol,first_date,last_date,n_dates
2Z,2025-10-16,2026-04-26,182
AAVE,2025-10-16,2026-04-26,182
ADA,2026-04-03,2026-04-26,21
ARB,2026-04-03,2026-04-26,21
ASTER,2025-10-16,2026-04-26,182
AVAX,2025-10-16,2026-04-26,182
BCH,2026-04-03,2026-04-26,21
BNB,2025-10-16,2026-04-26,182
BP,2026-04-03,2026-04-26,21
BTC,2025-10-16,2026-04-26,182
CL,2026-04-03,2026-04-26,21
COPPER,2026-04-03,2026-04-26,21
CRCL,2026-04-03,2026-04-26,21
CRV,2025-10-16,2026-04-26,182
DOGE,2025-10-16,2026-04-26,182
ENA,2025-10-16,2026-04-26,182
ETH,2025-10-16,2026-04-26,182
EURUSD,2026-04-03,2026-04-26,21
FARTCOIN,2025-10-16,2026-04-26,182
GOOGL,2026-04-03,2026-04-26,21
HOOD,2026-04-03,2026-04-26,21
HYPE,2025-10-16,2026-04-26,182
ICP,2026-04-03,2026-04-26,21
JUP,2026-04-03,2026-04-26,21
KBONK,2025-10-16,2026-04-26,182
KPEPE,2025-10-16,2026-04-26,182
LDO,2025-10-16,2026-04-26,182
LINK,2025-10-16,2026-04-26,182
LIT,2026-04-03,2026-04-26,21
LTC,2025-10-16,2026-04-26,182
MEGA,2026-04-03,2026-04-26,21
MON,2026-04-03,2026-04-26,21
NATGAS,2026-04-03,2026-04-26,21
NEAR,2026-04-03,2026-04-26,21
NVDA,2026-04-03,2026-04-26,21
PAXG,2026-04-03,2026-04-26,21
PENGU,2025-10-16,2026-04-26,182
PIPPIN,2026-04-03,2026-04-26,21
PLATINUM,2026-04-03,2026-04-26,21
PLTR,2026-04-03,2026-04-26,21
PUMP,2025-10-16,2026-04-26,182
SOL,2025-10-16,2026-04-26,182
SP500,2026-04-03,2026-04-26,21
STRK,2026-04-03,2026-04-26,21
SUI,2025-10-16,2026-04-26,182
TAO,2026-04-03,2026-04-26,21
TRUMP,2026-04-03,2026-04-26,21
TSLA,2026-04-03,2026-04-26,21
UNI,2025-10-16,2026-04-26,182
URNM,2026-04-03,2026-04-26,21
USDJPY,2026-04-03,2026-04-26,21
VIRTUAL,2026-04-03,2026-04-26,21
WIF,2026-04-03,2026-04-26,21
WLD,2026-04-03,2026-04-26,21
WLFI,2025-10-16,2026-04-27,183
XAG,2026-04-03,2026-04-26,21
XAU,2026-04-03,2026-04-26,21
XMR,2026-04-03,2026-04-26,21
XPL,2025-10-16,2026-04-26,182
XRP,2025-10-16,2026-04-26,182
ZEC,2026-04-03,2026-04-26,21
ZK,2026-04-03,2026-04-26,21
ZRO,2026-04-03,2026-04-26,21
