hour_utc,n_obs,mean_toxicity,max_toxicity
0,16469,0.511877023647042,0.8937115452534529
1,13980,0.48165359569716815,0.8897772593680359
2,16217,0.5158018029772442,0.8896626309191137
3,16383,0.5147463536695459,0.8921315314980389
4,16072,0.5050567834994306,0.8850054629233766
5,15986,0.49999240531923106,0.8961665045345363
6,16578,0.511061860308744,0.8894715835042434
7,16546,0.5072620332864555,0.8846166556168974
8,15852,0.504142576130445,0.8765312192129673
9,16074,0.49474178281476905,0.8801022568379485
10,13211,0.47773964154292825,0.8596044182554583
11,10168,0.46756453046804936,0.8527956432927901
12,11724,0.5095193797342343,0.890353757851016
13,13676,0.5381669106719241,0.8966286327407765
14,13424,0.5407350406730856,0.8896667616740297
15,11658,0.5003111248957428,0.8834936066240786
16,10022,0.4740152631911423,0.7150669801909647
17,9654,0.45810549213043245,0.7088964068628362
18,9386,0.46568203775935213,0.7063394695697612
19,8585,0.46963439791295786,0.7101031036427062
20,7518,0.46462924589057486,0.7220399526615485
21,11529,0.5027921386227706,0.8771255315765232
22,16243,0.510997967008393,0.8828840621017694
23,15827,0.4962280016018273,0.8860841063008471
