cutoff,horizon_minutes,threshold,n_baseline,n_accepted,n_removed,retention_rate,n_days,removed_days,max_day_concentration,sample_gate_pass,retention_gate_pass,mean_forward_return_baseline,mean_forward_return_accepted,mean_forward_return_removed,p05_long_adverse_excursion_baseline,p05_long_adverse_excursion_accepted,p05_long_adverse_excursion_removed,p05_short_adverse_excursion_baseline,p05_short_adverse_excursion_accepted,p05_short_adverse_excursion_removed,downside_deviation_baseline,downside_deviation_accepted,delta_downside_deviation,delta_downside_deviation_pct,sortino_proxy_baseline,sortino_proxy_accepted,delta_sortino_proxy,tail_loss_probability_baseline,tail_loss_probability_accepted,delta_p05_long_adverse_excursion_bps,delta_p05_short_adverse_excursion_bps
0.9,5,0.5885065227170491,6041,5436,605,0.8998510180433703,1,1,1.0,False,True,-0.7497964089389018,-0.8233924273629968,-0.08852705992505011,-25.025227043389275,-22.79364661809835,-61.3225854605157,-22.77255906632414,-19.877352061731802,-50.645170434242544,11.760669893657314,9.046613208303235,-2.7140566853540786,-23.077398735745536,-0.06375456634007531,-0.09101664992234487,-0.02726208358226956,0.10014898195662969,0.10007358351729213,2.2315804252909253,2.8952070045923364
0.8,5,0.5341205578047683,6041,4832,1209,0.7998675715941069,1,1,1.0,False,True,-0.7497964089389018,-1.1011516174358023,0.6544619595119032,-25.025227043389275,-22.18524681087186,-43.336218945354105,-22.77255906632414,-18.468707640276747,-41.57042091495411,11.760669893657314,8.409465754272286,-3.351204139385027,-28.495010655748242,-0.06375456634007531,-0.1309419230200659,-0.0671873566799906,0.10014898195662969,0.10016556291390728,2.8399802325174157,4.303851426047391
0.7,5,0.4935335132703554,6041,4228,1813,0.6998841251448435,1,1,1.0,False,False,-0.7497964089389018,-1.156585150886362,0.19885378463741493,-25.025227043389275,-21.087660338613144,-38.294926121738236,-22.77255906632414,-17.08867302003725,-38.94330357840347,11.760669893657314,7.851165676567258,-3.9095042170900554,-33.24218987898387,-0.06375456634007531,-0.1473138128186912,-0.08355924647861587,0.10014898195662969,0.1000473036896878,3.937566704776131,5.68388604628689
0.9,15,0.5888529014844804,4528,4075,453,0.8999558303886925,1,1,1.0,False,True,-2.1049304327563383,-2.37486555709685,0.3232939197548874,-45.198175638155924,-40.577123873756,-129.25826118885527,-40.816326530612734,-34.17829678154405,-124.78544580830683,18.74977829696798,14.856429610498582,-3.8933486864693965,-20.76477185385701,-0.11226428384471757,-0.1598543943168287,-0.04759011047211115,0.10004416961130742,0.10012269938650306,4.6210517643999225,6.638029749068686
0.8,15,0.5362415654520918,4528,3622,906,0.7999116607773852,1,1,1.0,False,True,-2.1049304327563383,-3.2125583772456756,2.323136250400813,-45.198175638155924,-38.0392312676508,-93.10082187931667,-40.816326530612734,-31.00555072273059,-100.30904512470462,18.74977829696798,14.15184204691451,-4.597936250053468,-24.522616626336323,-0.11226428384471757,-0.22700637603188212,-0.11474209218716455,0.10004416961130742,0.1007730535615682,7.158944370505125,9.810775807882145
0.7,15,0.49621345029239755,4528,3169,1359,0.6998674911660777,1,1,1.0,False,False,-2.1049304327563383,-3.438889421808919,1.0056773938129242,-45.198175638155924,-36.05875486165755,-71.5703251312103,-40.816326530612734,-29.251279743489622,-77.73459189339249,18.74977829696798,13.575605144842333,-5.174173152125645,-27.59591644324861,-0.11226428384471757,-0.2533138954115373,-0.14104961156681975,0.10004416961130742,0.10066266961186494,9.139420776498376,11.565046787123112
0.9,30,0.5928261358524516,3142,2827,315,0.8997453851050287,1,1,1.0,False,True,-4.378761571416067,-6.346787471580509,13.283489919900992,-65.98690112327138,-59.49573989952705,-257.7040028642136,-59.31417979610831,-47.34851430446185,-229.76658524026283,26.144609028878584,21.942332979371766,-4.202276049506818,-16.073202872780023,-0.1674823886859204,-0.2892485260134916,-0.12176613732757119,0.10025461489497135,0.10010611956137248,6.491161223744328,11.965665491646462
0.8,30,0.5417543859649123,3142,2513,629,0.7998090388287715,1,1,1.0,False,True,-4.378761571416067,-7.318723639296522,7.367064623470388,-65.98690112327138,-58.11228793701439,-118.81362615303748,-59.31417979610831,-42.481888741338295,-163.93237420203334,26.144609028878584,21.428663275658515,-4.715945753220069,-18.037928002713567,-0.1674823886859204,-0.3415389725970489,-0.1740565839111285,0.10025461489497135,0.10027855153203342,7.874613186256987,16.832291054770018
0.7,30,0.5018297345928924,3142,2199,943,0.6998726925525143,1,1,1.0,False,False,-4.378761571416067,-7.478974616522832,2.850685391669588,-65.98690112327138,-57.112068965517125,-93.89671361502371,-59.31417979610831,-39.897406668567555,-110.4100946372233,26.144609028878584,20.976364782531288,-5.168244246347296,-19.767915598349937,-0.1674823886859204,-0.35654293267969756,-0.18906054399377714,0.10025461489497135,0.10004547521600728,8.874832157754255,19.416773127540758
0.9,60,0.6013776428250113,1552,1396,156,0.8994845360824743,1,1,1.0,False,True,-2.912236850859752,-7.8503664860501186,41.277692448664304,-93.72069182672703,-79.98956806180513,-312.76822608014953,-83.85922980245351,-69.05481225722765,-407.35307298586156,27.73838312605089,27.642724348677334,-0.09565877737355777,-0.34486068253819196,-0.10498942341468649,-0.2839939503439627,-0.1790045269292762,0.10051546391752578,0.10028653295128939,13.731123764921904,14.80441754522586
