symbol,n_obs,mean_toxicity,max_toxicity
CHIP,5483,0.6401407804914657,0.8961665045345363
WLFI,5517,0.6093394727151847,0.8634041964339193
XPL,4946,0.5911206675157297,0.8846213027161779
MEGA,5636,0.5883868055691055,0.8765939550532558
LIT,5731,0.5757292355155477,0.8541722173685852
FARTCOIN,5601,0.5748340847643734,0.8579686393086768
PENGU,5609,0.5734661807367804,0.8588779217345865
ICP,5105,0.5685473792015798,0.8777397231981131
BP,3535,0.5647287522840643,0.8656557160353842
NEAR,4805,0.5642291847020487,0.8808238480873573
PIPPIN,5233,0.562446134049109,0.8156955261858881
MON,5507,0.5586783910359009,0.7960055083616807
STRK,4994,0.5545941886754038,0.8825440493377367
CRV,4956,0.5528521259173554,0.8863311770792671
ZRO,5461,0.5522085145170202,0.8530925413023858
2Z,4918,0.5509480132613057,0.8801022568379485
kPEPE,1979,0.5462381543727756,0.8200266227154343
ZK,5124,0.5458479320834659,0.8290944042728529
VIRTUAL,5055,0.5408279223457217,0.8548623116117585
HOOD,4902,0.5408092457233686,0.8868204133646445
ZEC,5770,0.5398184937609547,0.7672825622246592
ARB,4885,0.5309260227012972,0.8595641433950262
ENA,5667,0.5281627448015193,0.805804949883616
JUP,5047,0.5272750631345723,0.8661395307049341
CRCL,4961,0.5264344511374706,0.8966286327407765
LDO,5227,0.5263647689737153,0.8550652349470127
WLD,4930,0.5220641786907769,0.8469643082121472
WIF,4960,0.5207778859644143,0.8357743513165748
PUMP,5469,0.5138659338461217,0.8108986870395499
PLATINUM,4161,0.5104253499166733,0.8336330712369339
XMR,5050,0.5059325410300013,0.826701406315511
SOL-USDC,4038,0.5023222356346955,0.8015270368236146
UNI,5281,0.49874582354210567,0.8103379370596874
TAO,5621,0.49698055750775244,0.7663934172289656
kBONK,4216,0.4966749611510143,0.817504538666964
TRUMP,5159,0.49219080212617555,0.83745401953434
AAVE,5284,0.49087008889650374,0.8268687018896138
DOGE,5411,0.48745991361814334,0.7692660991009411
COPPER,3998,0.4834569196853964,0.8275252337490938
AVAX,5261,0.4789749530635317,0.8302644406028423
CL,5069,0.4776787663673773,0.8186686370367617
PLTR,4744,0.47637515616413006,0.8543488071412492
HYPE,5708,0.47443170951085234,0.7532589074566323
ETH,5854,0.4732519565688646,0.7947334940196996
USDJPY,4533,0.46844668067641404,0.8223101556674989
GOOGL,4226,0.46490183967646964,0.8665497663025407
URNM,3732,0.4602250682769403,0.8937115452534529
NATGAS,4329,0.45604391663186766,0.843506608175177
SUI,5292,0.4557725657544409,0.7472455609874983
LINK,4955,0.4526791199486258,0.7961640260815864
ASTER,4846,0.45000548113501065,0.7481871149361902
LTC,4720,0.44995114397756764,0.7988262976250224
ADA,5031,0.44670963213590015,0.800132907039426
SOL,5702,0.4449666291509071,0.744765559004736
BCH,4741,0.44427467921735514,0.8188421287432385
BTC,5793,0.4407444298264707,0.8043803557819209
XAG,5022,0.43471214105603845,0.8348062056331105
XRP,5295,0.4194358616699269,0.7228431263205507
TSLA,4412,0.39933419540559345,0.7986886918518795
BNB,5322,0.39741805807618347,0.7332967761523257
NVDA,4667,0.39007291016314233,0.7839994691979933
PAXG,5101,0.38247624130736996,0.7361534513490012
SP500,4342,0.3778567857314722,0.7984831867948027
XAU,5124,0.3746691373337399,0.6636455357898933
EURUSD,3729,0.3529323414131282,0.6547969424152112
