horizon_minutes,toxicity_decile,n_obs,n_days,n_symbols,mean_forward_return,median_forward_return,p05_long_adverse_excursion_bps,p05_short_adverse_excursion_bps,downside_deviation,sortino_proxy,tail_loss_probability
5,1,3101,2,52,0.2209803224249402,0.0,-11.04099239037315,-12.754999071629136,4.318851376240289,0.05116645681317964,0.10029022895840052
5,2,4741,2,62,0.24026713034931746,0.0,-16.57000828500399,-17.956903431763926,6.689738490330973,0.03591577319451097,0.10018983336848766
5,3,5097,2,63,0.3135209158312286,0.0,-21.269221544717887,-22.943925876552473,8.341162064505198,0.037587198690860926,0.10005885815185403
5,4,5287,2,64,0.3185532446217105,0.0,-23.008520615314332,-25.293294764453965,9.482077658953934,0.033595300110298126,0.1000567429544165
5,5,5260,2,64,0.1143287815943911,0.0,-24.792633210343084,-27.31399295629955,11.032309398637365,0.01036308695335468,0.1
5,6,5291,2,64,0.5006915498840788,0.0,-28.057262134548175,-32.12150580739203,12.817918645143026,0.039061844886478604,0.10017010017010017
5,7,5318,2,63,0.2924120283976992,0.0,-32.60219090683969,-33.19728780197651,13.518079131121901,0.0216311818832674,0.10003760812335465
5,8,5445,2,63,0.48512932257697433,0.0,-36.68000434135688,-38.938620289932665,16.785156574193827,0.028902281633930757,0.10009182736455463
5,9,5520,2,59,0.41340990608481626,0.0,-46.67155944181445,-45.58179499154391,18.894617724184577,0.02187977084901079,0.1
5,10,5571,2,51,0.5943609434745383,0.0,-63.15508137006209,-62.24920735035889,25.868291121384072,0.022976428581446134,0.10016155088852989
15,1,2123,2,50,0.030062049595700153,-0.730646987909811,-22.59328958840856,-28.597953062803324,8.513849730995798,0.003530958443658605,0.10032972209138012
15,2,3645,2,61,1.0616007809176642,-0.42720437457233196,-31.116065170647907,-38.1961314395367,11.535939564837518,0.09202551512609425,0.10013717421124829
15,3,4076,2,63,1.6057563430714679,-0.3212993199008807,-37.2175761741414,-47.54462918523772,13.638675623538505,0.11773550360712078,0.10009813542688911
15,4,4332,2,64,2.0041181102397676,0.0,-42.543236467957264,-53.86046179937964,16.53176610823696,0.12122831263873345,0.10018467220683287
15,5,4318,2,64,0.552276314172091,-0.8243844157346247,-47.120235054521785,-53.53932993090037,19.312582918265846,0.028596709021751196,0.1000463177396943
15,6,4399,2,63,1.4406784004757365,0.0,-51.84552341980708,-61.64594999414974,21.565087340267414,0.06680605451505078,0.10002273243919073
15,7,4571,2,63,1.1829096695632564,0.0,-57.534246575342564,-66.91603298001891,23.316931091411597,0.05073179077151201,0.10019689345876176
