symbol,date,raw_trade_rows,raw_trade_notional_sum,raw_trade_bucket_count,raw_trade_files,raw_invalid_event_ts_rows,silver_trade_rows,silver_trade_notional_sum,silver_trade_bucket_count,silver_invalid_event_ts_rows,regime_rows,regime_trade_active_rows,regime_trade_count_sum,regime_trade_notional_sum,regime_trade_notional_median_all_rows,regime_trade_bucket_count,regime_trade_notional_median_active_rows,raw_silver_row_delta,silver_regime_trade_count_delta,raw_silver_notional_delta_abs,silver_regime_notional_delta_abs,regime_trade_active_row_share
2Z,2026-04-30,252.0,487.7957,149.0,1.0,0.0,252.0,487.7957,149.0,0.0,159.0,149.0,252.0,487.7957,0.1633,159.0,0.1633,0.0,0.0,0.0,0.0,0.9371069182389937
2Z,2026-05-01,1225.0,599.2929,714.0,8.0,0.0,1220.0,598.8829,711.0,0.0,877.0,711.0,1220.0,598.8829,0.1633,877.0,0.1636,5.0,0.0,0.41000000000008185,0.0,0.8107183580387686
2Z,2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.0,0.0,0.0,0.0,0.0,1383.0,0.0,0.0,0.0,0.0,0.0,0.0
2Z,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0,0.0,0.0,0.0,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0
2Z,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0
2Z,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.0,0.0,0.0,0.0,0.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0
2Z,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0
2Z,2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0
2Z,2026-05-11,198.0,134.9837,178.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,134.9837,0.0,0.0
2Z,2026-05-12,366.0,208.70829999999998,315.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,208.70829999999998,0.0,0.0
AVAX,2026-04-30,256.0,1011.4534699999999,151.0,1.0,0.0,256.0,1011.4534699999999,151.0,0.0,159.0,151.0,256.0,1011.45347,0.18141000000000002,159.0,0.18146,0.0,0.0,0.0,1.1368683772161603e-13,0.949685534591195
AVAX,2026-05-01,1200.0,12241.36519,716.0,9.0,0.0,1195.0,12240.91033,713.0,0.0,874.0,713.0,1195.0,12240.91033,0.18155,874.0,0.18204,5.0,0.0,0.45485999999982596,0.0,0.8157894736842105
AVAX,2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.0,0.0,0.0,0.0,0.0,1159.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.0,0.0,0.0,0.0,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1241.0,0.0,0.0,0.0,0.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX,2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAX,2026-05-11,215.0,174.10198,192.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,174.10198,0.0,0.0
AVAX,2026-05-12,359.0,2081.04032,323.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,2081.04032,0.0,0.0
BTC,2026-04-30,1086.0,7514421.53399,143.0,1.0,0.0,1086.0,7514421.53399,143.0,0.0,159.0,143.0,1086.0,7514421.53399,3460.3179600000003,159.0,13575.75465,0.0,0.0,0.0,0.0,0.89937106918239
BTC,2026-05-01,7520.0,92286613.55414,706.0,9.0,0.0,7520.0,92286613.55414,706.0,0.0,878.0,706.0,7520.0,92286613.55414,4770.620295000001,878.0,17280.0318,0.0,0.0,0.0,0.0,0.8041002277904328
BTC,2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.0,0.0,0.0,0.0,0.0,1363.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,0.0,1364.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.0,0.0,0.0,0.0,0.0,1388.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389.0,0.0,0.0,0.0,0.0,1389.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.0,0.0,0.0,0.0,0.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC,2026-05-11,1432.0,18345060.28203,325.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1432.0,0.0,18345060.28203,0.0,0.0
BTC,2026-05-12,1758.0,24487809.67747,401.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1758.0,0.0,24487809.67747,0.0,0.0
CRV,2026-04-30,217.0,6.617030000000001,144.0,1.0,0.0,217.0,6.617030000000001,144.0,0.0,159.0,144.0,217.0,6.617030000000001,0.046520000000000006,159.0,0.046560000000000004,0.0,0.0,0.0,0.0,0.9056603773584906
CRV,2026-05-01,1049.0,91.78226,680.0,8.0,0.0,1044.0,91.64336,677.0,0.0,872.0,677.0,1044.0,91.64336,0.046860000000000006,872.0,0.04726,5.0,0.0,0.13889999999999247,0.0,0.7763761467889908
CRV,2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,0.0,0.0,0.0,0.0,1249.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,0.0,0.0,0.0,0.0,1134.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,0.0,0.0,0.0,0.0,1092.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,2026-05-11,224.0,2312.2763,205.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,2312.2763,0.0,0.0
CRV,2026-05-12,332.0,343.32284,298.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,343.32284,0.0,0.0
ETH,2026-04-30,831.0,6788978.4407,137.0,1.0,0.0,831.0,6788978.4407,137.0,0.0,159.0,137.0,831.0,6788978.4407,23196.315599999998,159.0,38138.47109,0.0,0.0,0.0,0.0,0.8616352201257862
ETH,2026-05-01,4483.0,49157873.64431,664.0,8.0,0.0,4478.0,49157872.50021,661.0,0.0,876.0,661.0,4478.0,49157872.50021,6203.7071049999995,876.0,39508.34208,5.0,0.0,1.1440999954938889,0.0,0.7545662100456622
ETH,2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,0.0,0.0,0.0,0.0,1379.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.0,0.0,0.0,0.0,0.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.0,0.0,0.0,0.0,0.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.0,0.0,0.0,0.0,0.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.0,0.0,0.0,0.0,0.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH,2026-05-11,935.0,13610168.11961,278.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0,0.0,13610168.11961,0.0,0.0
ETH,2026-05-12,1257.0,15157452.39996,368.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,0.0,15157452.39996,0.0,0.0
PUMP,2026-04-30,225.0,5153.865003,111.0,1.0,0.0,225.0,5153.865003,111.0,0.0,159.0,111.0,225.0,5153.865003,0.003512,159.0,0.00352,0.0,0.0,0.0,0.0,0.6981132075471698
PUMP,2026-05-01,1103.0,15534.03366,567.0,8.0,0.0,1095.0,15534.019106,564.0,0.0,877.0,564.0,1095.0,15534.019106,0.001819,877.0,0.0036,8.0,0.0,0.014553999999407097,0.0,0.6431014823261118
PUMP,2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMP,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMP,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.0,0.0,0.0,0.0,0.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMP,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1337.0,0.0,0.0,0.0,0.0,1337.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMP,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.0,0.0,0.0,0.0,0.0,1347.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMP,2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0
PUMP,2026-05-11,262.0,21289.553596,189.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,21289.553596,0.0,0.0
PUMP,2026-05-12,445.0,29596.454320999997,350.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,29596.454320999997,0.0,0.0
SOL,2026-04-30,377.0,443810.4113,113.0,1.0,0.0,377.0,443810.4113,113.0,0.0,159.0,113.0,377.0,443810.41130000004,1.6574000000000002,159.0,979.0459999999999,0.0,0.0,0.0,5.820766091346741e-11,0.710691823899371
SOL,2026-05-01,2588.0,4056186.1655,556.0,8.0,0.0,2583.0,4055982.8483,554.0,0.0,877.0,554.0,2583.0,4055982.8483,1.6702000000000001,877.0,4048.70515,5.0,0.0,203.3171999999322,0.0,0.6316989737742303
SOL,2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.0,0.0,0.0,0.0,0.0,1343.0,0.0,0.0,0.0,0.0,0.0,0.0
SOL,2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0
SOL,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,0.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0
SOL,2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374.0,0.0,0.0,0.0,0.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0
SOL,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.0,0.0,0.0,0.0,0.0,1386.0,0.0,0.0,0.0,0.0,0.0,0.0
