symbol,raw_trade_rows,silver_trade_rows,regime_trade_count_sum,raw_silver_row_delta,silver_regime_trade_count_delta,raw_trade_notional_sum,silver_trade_notional_sum,regime_trade_notional_sum,raw_silver_notional_delta_abs,silver_regime_notional_delta_abs,regime_rows,regime_trade_active_rows,regime_trade_active_row_share,regime_trade_notional_median_all_rows,regime_trade_notional_median_active_rows,median_trade_notional_per_min,activity_gate_pass,activity_median_zero_reason,failure_reasons,diagnostic_notes,raw_trade_files,raw_trade_bucket_count,raw_invalid_event_ts_rows,silver_trade_bucket_count,silver_invalid_event_ts_rows,regime_trade_bucket_count,median_bbo_updates_per_min
AVAX,11077,11077,11077.0,0,0.0,130108.92877,130108.92877,130108.92877,0.0,0.0,20346,8890,0.4369409220485599,0.0,0.09734999999999999,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,386,8890,0,8890,0,20346,8.0
BNB,11990,11990,11990.0,0,0.0,3263042.4729400002,3263042.4729400002,3263042.47294,0.0,4.656612873077393e-10,20037,8795,0.43893796476518443,0.0,0.6629400000000001,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,381,8795,0,8795,0,20037,22.0
BTC,56345,56345,56345.0,0,0.0,688270853.71581,688270853.71581,688270853.71581,0.0,0.0,19799,11170,0.5641699075710894,16.48332,2309.548045,16.48332,False,median_nonzero,sample;activity,,380,11170,0,11170,0,19799,71.0
CRV,9653,9653,9653.0,0,0.0,18703.96901,18703.96901,18703.96901,0.0,0.0,19284,8026,0.41619995851483094,0.0,0.026660000000000003,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,363,8026,0,8026,0,19284,4.0
ETH,36988,36988,36988.0,0,0.0,429303357.52741,429303357.52741,429303357.52741003,0.0,5.960464477539063e-08,18907,9330,0.4934680277146031,0.0,15908.615559999998,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,358,9330,0,9330,0,18907,123.0
PUMP,11614,11614,11614.0,0,0.0,742540.300586,742540.300586,742540.300586,0.0,0.0,18220,8271,0.4539517014270033,0.0,0.00202,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,348,8271,0,8271,0,18220,15.0
SOL,32116,32116,32116.0,0,0.0,64346170.5579,64346170.5579,64346170.5579,0.0,0.0,18203,8850,0.48618359611053125,0.0,4935.3962,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,349,8850,0,8850,0,18203,46.0
WLFI,9003,9003,9003.0,0,0.0,163136.6272,163136.6272,163136.6272,0.0,0.0,18248,7610,0.4170320035072337,0.0,0.0671,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,347,7610,0,7610,0,18248,6.0
XRP,15862,15862,15862.0,0,0.0,1012514.729327,1012514.729327,1012514.729327,0.0,0.0,18226,8789,0.4822231976297597,0.0,0.87486,0.0,False,sparse_trade_minutes_not_missing_trade_lineage,sample;activity,median_zero_explained_by_sparse_trade_minutes,350,8789,0,8789,0,18226,15.0
kPEPE,11848,11848,11848.0,0,0.0,88009.263762,88009.263762,88009.263762,0.0,0.0,18233,9629,0.5281083749245873,0.003748,0.046236,0.003748,False,median_nonzero,sample;activity,,346,9629,0,9629,0,18233,10.0
