source_key,expected_rows,restored_rows,raw_rows,match
channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,2909,2909,2909,True
channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,1,1,1,True
channel=bbo/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,4,4,4,True
channel=bbo/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,10,10,10,True
channel=bbo/symbol=SOL/date=2026-05-01/run-20260501T101433Z.jsonl.gz,3,3,3,True
channel=book/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,22,22,22,True
channel=book/symbol=BTC/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,22,22,22,True
channel=book/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,5,5,5,True
channel=book/symbol=SOL/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,22,22,22,True
channel=candle/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,4770,4770,4770,True
channel=candle/symbol=2Z/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,6,6,6,True
channel=candle/symbol=BTC/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,7,7,7,True
channel=candle/symbol=ETH/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,6,6,6,True
channel=candle/symbol=SOL/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,5,5,5,True
channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101607Z.jsonl.gz,109,109,109,True
channel=mark_price_candle/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,55,55,55,True
channel=mark_price_candle/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,11,11,11,True
channel=mark_price_candle/symbol=SOL/date=2026-05-01/run-20260501T113605Z.jsonl.gz,66,66,66,True
channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,10,10,10,True
channel=prices/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,4,4,4,True
channel=prices/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,5,5,5,True
channel=prices/symbol=SOL/date=2026-05-01/run-20260501T101607Z.jsonl.gz,4,4,4,True
channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,252,252,252,True
channel=trades/symbol=2Z/date=2026-05-01/run-20260501T113605Z.jsonl.gz,2,2,2,True
channel=trades/symbol=BTC/date=2026-05-01/run-20260501T110531Z.jsonl.gz,1,1,1,True
channel=trades/symbol=ETH/date=2026-05-01/run-20260501T113605Z.jsonl.gz,1,1,1,True
channel=trades/symbol=SOL/date=2026-05-01/run-20260501T103545Z.jsonl.gz,1,1,1,True
