symbol,date,side
2Z,2026-04-30,canonical
2Z,2026-05-01,canonical
2Z,2026-05-02,canonical
2Z,2026-05-03,canonical
2Z,2026-05-04,canonical
2Z,2026-05-05,canonical
2Z,2026-05-06,canonical
2Z,2026-05-07,canonical
2Z,2026-05-08,canonical
2Z,2026-05-09,canonical
2Z,2026-05-10,canonical
2Z,2026-05-11,canonical
2Z,2026-05-12,canonical
2Z,2026-05-13,canonical
2Z,2026-05-14,canonical
AAVE,2026-04-30,canonical
AAVE,2026-05-01,canonical
AAVE,2026-05-02,canonical
AAVE,2026-05-03,canonical
AAVE,2026-05-04,canonical
AAVE,2026-05-05,canonical
AAVE,2026-05-06,canonical
AAVE,2026-05-07,canonical
AAVE,2026-05-08,canonical
AAVE,2026-05-09,canonical
AAVE,2026-05-10,canonical
AAVE,2026-05-11,canonical
AAVE,2026-05-12,canonical
AAVE,2026-05-13,canonical
AAVE,2026-05-14,canonical
ADA,2026-04-30,canonical
ADA,2026-05-01,canonical
ADA,2026-05-02,canonical
ADA,2026-05-03,canonical
ADA,2026-05-04,canonical
ADA,2026-05-05,canonical
ADA,2026-05-06,canonical
ADA,2026-05-07,canonical
ADA,2026-05-08,canonical
ADA,2026-05-09,canonical
ADA,2026-05-10,canonical
ADA,2026-05-11,canonical
ADA,2026-05-12,canonical
ADA,2026-05-13,canonical
ADA,2026-05-14,canonical
ANTHROPIC,2026-05-12,canonical
ANTHROPIC,2026-05-13,canonical
ANTHROPIC,2026-05-14,canonical
ARB,2026-04-30,canonical
ARB,2026-05-01,canonical
ARB,2026-05-02,canonical
ARB,2026-05-03,canonical
ARB,2026-05-04,canonical
ARB,2026-05-05,canonical
ARB,2026-05-06,canonical
ARB,2026-05-07,canonical
ARB,2026-05-08,canonical
ARB,2026-05-09,canonical
ARB,2026-05-10,canonical
ARB,2026-05-11,canonical
ARB,2026-05-12,canonical
ARB,2026-05-13,canonical
ARB,2026-05-14,canonical
ASTER,2026-04-30,canonical
ASTER,2026-05-01,canonical
ASTER,2026-05-02,canonical
ASTER,2026-05-03,canonical
ASTER,2026-05-04,canonical
ASTER,2026-05-05,canonical
ASTER,2026-05-06,canonical
ASTER,2026-05-07,canonical
ASTER,2026-05-08,canonical
ASTER,2026-05-09,canonical
ASTER,2026-05-10,canonical
ASTER,2026-05-11,canonical
ASTER,2026-05-12,canonical
ASTER,2026-05-13,canonical
ASTER,2026-05-14,canonical
AVAX,2026-04-30,canonical
AVAX,2026-05-01,canonical
AVAX,2026-05-02,canonical
AVAX,2026-05-03,canonical
AVAX,2026-05-04,canonical
AVAX,2026-05-05,canonical
AVAX,2026-05-06,canonical
AVAX,2026-05-07,canonical
AVAX,2026-05-08,canonical
AVAX,2026-05-09,canonical
AVAX,2026-05-10,canonical
AVAX,2026-05-11,canonical
AVAX,2026-05-12,canonical
AVAX,2026-05-13,canonical
AVAX,2026-05-14,canonical
BCH,2026-04-30,canonical
BCH,2026-05-01,canonical
BCH,2026-05-02,canonical
BCH,2026-05-03,canonical
BCH,2026-05-04,canonical
BCH,2026-05-05,canonical
BCH,2026-05-06,canonical
BCH,2026-05-07,canonical
BCH,2026-05-08,canonical
BCH,2026-05-09,canonical
BCH,2026-05-10,canonical
BCH,2026-05-11,canonical
BCH,2026-05-12,canonical
BCH,2026-05-13,canonical
BCH,2026-05-14,canonical
BNB,2026-04-30,canonical
BNB,2026-05-01,canonical
BNB,2026-05-02,canonical
BNB,2026-05-03,canonical
BNB,2026-05-04,canonical
BNB,2026-05-05,canonical
BNB,2026-05-06,canonical
BNB,2026-05-07,canonical
BNB,2026-05-08,canonical
BNB,2026-05-09,canonical
BNB,2026-05-10,canonical
BNB,2026-05-11,canonical
BNB,2026-05-12,canonical
BNB,2026-05-13,canonical
BNB,2026-05-14,canonical
BP,2026-04-30,canonical
BP,2026-05-01,canonical
BP,2026-05-02,canonical
BP,2026-05-03,canonical
BP,2026-05-04,canonical
BP,2026-05-05,canonical
BP,2026-05-06,canonical
BP,2026-05-07,canonical
BP,2026-05-08,canonical
BP,2026-05-09,canonical
BP,2026-05-10,canonical
BP,2026-05-11,canonical
BP,2026-05-12,canonical
BP,2026-05-13,canonical
BP,2026-05-14,canonical
BTC,2026-04-30,canonical
BTC,2026-05-01,canonical
BTC,2026-05-02,canonical
BTC,2026-05-03,canonical
BTC,2026-05-04,canonical
BTC,2026-05-05,canonical
BTC,2026-05-06,canonical
BTC,2026-05-07,canonical
BTC,2026-05-08,canonical
BTC,2026-05-09,canonical
BTC,2026-05-10,canonical
BTC,2026-05-11,canonical
BTC,2026-05-12,canonical
BTC,2026-05-13,canonical
BTC,2026-05-14,canonical
CHIP,2026-04-30,canonical
CHIP,2026-05-01,canonical
CHIP,2026-05-02,canonical
CHIP,2026-05-03,canonical
CHIP,2026-05-04,canonical
CHIP,2026-05-05,canonical
CHIP,2026-05-06,canonical
CHIP,2026-05-07,canonical
CHIP,2026-05-08,canonical
CHIP,2026-05-09,canonical
CHIP,2026-05-10,canonical
CHIP,2026-05-11,canonical
CHIP,2026-05-12,canonical
CHIP,2026-05-13,canonical
CHIP,2026-05-14,canonical
CL,2026-04-30,canonical
CL,2026-05-01,canonical
CL,2026-05-02,canonical
CL,2026-05-03,canonical
CL,2026-05-04,canonical
CL,2026-05-05,canonical
CL,2026-05-06,canonical
CL,2026-05-07,canonical
CL,2026-05-08,canonical
CL,2026-05-09,canonical
CL,2026-05-10,canonical
CL,2026-05-11,canonical
CL,2026-05-12,canonical
CL,2026-05-13,canonical
CL,2026-05-14,canonical
COPPER,2026-04-30,canonical
COPPER,2026-05-01,canonical
COPPER,2026-05-02,canonical
COPPER,2026-05-03,canonical
COPPER,2026-05-04,canonical
COPPER,2026-05-05,canonical
COPPER,2026-05-06,canonical
COPPER,2026-05-07,canonical
COPPER,2026-05-08,canonical
COPPER,2026-05-09,canonical
COPPER,2026-05-10,canonical
COPPER,2026-05-11,canonical
COPPER,2026-05-12,canonical
COPPER,2026-05-13,canonical
COPPER,2026-05-14,canonical
CRCL,2026-04-30,canonical
CRCL,2026-05-01,canonical
CRCL,2026-05-02,canonical
CRCL,2026-05-03,canonical
CRCL,2026-05-04,canonical
CRCL,2026-05-05,canonical
CRCL,2026-05-06,canonical
CRCL,2026-05-07,canonical
CRCL,2026-05-08,canonical
CRCL,2026-05-09,canonical
CRCL,2026-05-10,canonical
