channel,symbol,date,side
prices,2Z,2026-04-30,canonical
prices,2Z,2026-05-01,canonical
prices,2Z,2026-05-02,canonical
prices,2Z,2026-05-03,canonical
prices,2Z,2026-05-04,canonical
prices,2Z,2026-05-05,canonical
prices,2Z,2026-05-06,canonical
prices,2Z,2026-05-07,canonical
prices,2Z,2026-05-08,canonical
prices,2Z,2026-05-09,canonical
prices,2Z,2026-05-10,canonical
prices,2Z,2026-05-11,canonical
prices,2Z,2026-05-12,canonical
prices,2Z,2026-05-13,canonical
prices,2Z,2026-05-14,canonical
prices,AAVE,2026-04-30,canonical
prices,AAVE,2026-05-01,canonical
prices,AAVE,2026-05-02,canonical
prices,AAVE,2026-05-03,canonical
prices,AAVE,2026-05-04,canonical
prices,AAVE,2026-05-05,canonical
prices,AAVE,2026-05-06,canonical
prices,AAVE,2026-05-07,canonical
prices,AAVE,2026-05-08,canonical
prices,AAVE,2026-05-09,canonical
prices,AAVE,2026-05-10,canonical
prices,AAVE,2026-05-11,canonical
prices,AAVE,2026-05-12,canonical
prices,AAVE,2026-05-13,canonical
prices,AAVE,2026-05-14,canonical
prices,ADA,2026-04-30,canonical
prices,ADA,2026-05-01,canonical
prices,ADA,2026-05-02,canonical
prices,ADA,2026-05-03,canonical
prices,ADA,2026-05-04,canonical
prices,ADA,2026-05-05,canonical
prices,ADA,2026-05-06,canonical
prices,ADA,2026-05-07,canonical
prices,ADA,2026-05-08,canonical
prices,ADA,2026-05-09,canonical
prices,ADA,2026-05-10,canonical
prices,ADA,2026-05-11,canonical
prices,ADA,2026-05-12,canonical
prices,ADA,2026-05-13,canonical
prices,ADA,2026-05-14,canonical
prices,ANTHROPIC,2026-05-12,canonical
prices,ANTHROPIC,2026-05-13,canonical
prices,ANTHROPIC,2026-05-14,canonical
prices,ARB,2026-04-30,canonical
prices,ARB,2026-05-01,canonical
prices,ARB,2026-05-02,canonical
prices,ARB,2026-05-03,canonical
prices,ARB,2026-05-04,canonical
prices,ARB,2026-05-05,canonical
prices,ARB,2026-05-06,canonical
prices,ARB,2026-05-07,canonical
prices,ARB,2026-05-08,canonical
prices,ARB,2026-05-09,canonical
prices,ARB,2026-05-10,canonical
prices,ARB,2026-05-11,canonical
prices,ARB,2026-05-12,canonical
prices,ARB,2026-05-13,canonical
prices,ARB,2026-05-14,canonical
prices,ASTER,2026-04-30,canonical
prices,ASTER,2026-05-01,canonical
prices,ASTER,2026-05-02,canonical
prices,ASTER,2026-05-03,canonical
prices,ASTER,2026-05-04,canonical
prices,ASTER,2026-05-05,canonical
prices,ASTER,2026-05-06,canonical
prices,ASTER,2026-05-07,canonical
prices,ASTER,2026-05-08,canonical
prices,ASTER,2026-05-09,canonical
prices,ASTER,2026-05-10,canonical
prices,ASTER,2026-05-11,canonical
prices,ASTER,2026-05-12,canonical
prices,ASTER,2026-05-13,canonical
prices,ASTER,2026-05-14,canonical
prices,AVAX,2026-04-30,canonical
prices,AVAX,2026-05-01,canonical
prices,AVAX,2026-05-02,canonical
prices,AVAX,2026-05-03,canonical
prices,AVAX,2026-05-04,canonical
prices,AVAX,2026-05-05,canonical
prices,AVAX,2026-05-06,canonical
prices,AVAX,2026-05-07,canonical
prices,AVAX,2026-05-08,canonical
prices,AVAX,2026-05-09,canonical
prices,AVAX,2026-05-10,canonical
prices,AVAX,2026-05-11,canonical
prices,AVAX,2026-05-12,canonical
prices,AVAX,2026-05-13,canonical
prices,AVAX,2026-05-14,canonical
prices,BCH,2026-04-30,canonical
prices,BCH,2026-05-01,canonical
prices,BCH,2026-05-02,canonical
prices,BCH,2026-05-03,canonical
prices,BCH,2026-05-04,canonical
prices,BCH,2026-05-05,canonical
prices,BCH,2026-05-06,canonical
prices,BCH,2026-05-07,canonical
prices,BCH,2026-05-08,canonical
prices,BCH,2026-05-09,canonical
prices,BCH,2026-05-10,canonical
prices,BCH,2026-05-11,canonical
prices,BCH,2026-05-12,canonical
prices,BCH,2026-05-13,canonical
prices,BCH,2026-05-14,canonical
prices,BNB,2026-04-30,canonical
prices,BNB,2026-05-01,canonical
prices,BNB,2026-05-02,canonical
prices,BNB,2026-05-03,canonical
prices,BNB,2026-05-04,canonical
prices,BNB,2026-05-05,canonical
prices,BNB,2026-05-06,canonical
prices,BNB,2026-05-07,canonical
prices,BNB,2026-05-08,canonical
prices,BNB,2026-05-09,canonical
prices,BNB,2026-05-10,canonical
prices,BNB,2026-05-11,canonical
prices,BNB,2026-05-12,canonical
prices,BNB,2026-05-13,canonical
prices,BNB,2026-05-14,canonical
prices,BP,2026-04-30,canonical
