symbol,date,channel,key,size,last_modified,sidecar_key
2Z,2026-05-01,bbo,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,287,2026-05-01T22:07:53.123Z,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz.sha256
2Z,2026-05-01,book,raw/pacifica/full_fidelity/channel=book/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,9474,2026-05-01T22:13:38.917Z,raw/pacifica/full_fidelity/channel=book/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz.sha256
2Z,2026-05-01,candle,raw/pacifica/full_fidelity/channel=candle/symbol=2Z/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,1745,2026-05-01T21:53:37.737Z,raw/pacifica/full_fidelity/channel=candle/symbol=2Z/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz.sha256
2Z,2026-05-01,mark_price_candle,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101607Z.jsonl.gz,32615,2026-05-01T20:12:00.609Z,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
2Z,2026-05-01,prices,raw/pacifica/full_fidelity/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,57952,2026-05-01T20:30:41.482Z,raw/pacifica/full_fidelity/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz.sha256
2Z,2026-05-01,trades,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-05-01/run-20260501T113605Z.jsonl.gz,594,2026-05-01T21:04:13.573Z,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-05-01/run-20260501T113605Z.jsonl.gz.sha256
BTC,2026-05-01,bbo,raw/pacifica/full_fidelity/channel=bbo/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,1103,2026-05-01T18:37:30.311Z,raw/pacifica/full_fidelity/channel=bbo/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
BTC,2026-05-01,book,raw/pacifica/full_fidelity/channel=book/symbol=BTC/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,9385,2026-05-01T23:05:47.153Z,raw/pacifica/full_fidelity/channel=book/symbol=BTC/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz.sha256
BTC,2026-05-01,candle,raw/pacifica/full_fidelity/channel=candle/symbol=BTC/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,2082,2026-05-01T21:55:36.783Z,raw/pacifica/full_fidelity/channel=candle/symbol=BTC/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz.sha256
BTC,2026-05-01,mark_price_candle,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,16976,2026-05-01T20:14:58.083Z,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
BTC,2026-05-01,prices,raw/pacifica/full_fidelity/channel=prices/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,23236,2026-05-01T20:33:21.113Z,raw/pacifica/full_fidelity/channel=prices/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
BTC,2026-05-01,trades,raw/pacifica/full_fidelity/channel=trades/symbol=BTC/date=2026-05-01/run-20260501T110531Z.jsonl.gz,304,2026-05-01T21:06:00.630Z,raw/pacifica/full_fidelity/channel=trades/symbol=BTC/date=2026-05-01/run-20260501T110531Z.jsonl.gz.sha256
ETH,2026-05-01,bbo,raw/pacifica/full_fidelity/channel=bbo/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,2774,2026-05-01T18:40:29.142Z,raw/pacifica/full_fidelity/channel=bbo/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
ETH,2026-05-01,book,raw/pacifica/full_fidelity/channel=book/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,2961,2026-05-01T19:11:31.909Z,raw/pacifica/full_fidelity/channel=book/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
ETH,2026-05-01,candle,raw/pacifica/full_fidelity/channel=candle/symbol=ETH/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,1810,2026-05-01T21:58:18.355Z,raw/pacifica/full_fidelity/channel=candle/symbol=ETH/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz.sha256
ETH,2026-05-01,mark_price_candle,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,3486,2026-05-01T20:17:30.002Z,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
ETH,2026-05-01,prices,raw/pacifica/full_fidelity/channel=prices/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,29060,2026-05-01T20:35:38.475Z,raw/pacifica/full_fidelity/channel=prices/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
ETH,2026-05-01,trades,raw/pacifica/full_fidelity/channel=trades/symbol=ETH/date=2026-05-01/run-20260501T113605Z.jsonl.gz,308,2026-05-01T21:07:35.485Z,raw/pacifica/full_fidelity/channel=trades/symbol=ETH/date=2026-05-01/run-20260501T113605Z.jsonl.gz.sha256
SOL,2026-05-01,bbo,raw/pacifica/full_fidelity/channel=bbo/symbol=SOL/date=2026-05-01/run-20260501T101433Z.jsonl.gz,822,2026-05-01T18:48:57.406Z,raw/pacifica/full_fidelity/channel=bbo/symbol=SOL/date=2026-05-01/run-20260501T101433Z.jsonl.gz.sha256
SOL,2026-05-01,book,raw/pacifica/full_fidelity/channel=book/symbol=SOL/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,10240,2026-05-02T00:05:28.876Z,raw/pacifica/full_fidelity/channel=book/symbol=SOL/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz.sha256
SOL,2026-05-01,candle,raw/pacifica/full_fidelity/channel=candle/symbol=SOL/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,1474,2026-05-01T22:07:22.865Z,raw/pacifica/full_fidelity/channel=candle/symbol=SOL/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz.sha256
SOL,2026-05-01,mark_price_candle,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=SOL/date=2026-05-01/run-20260501T113605Z.jsonl.gz,20194,2026-05-01T20:24:15.839Z,raw/pacifica/full_fidelity/channel=mark_price_candle/symbol=SOL/date=2026-05-01/run-20260501T113605Z.jsonl.gz.sha256
SOL,2026-05-01,prices,raw/pacifica/full_fidelity/channel=prices/symbol=SOL/date=2026-05-01/run-20260501T101607Z.jsonl.gz,23236,2026-05-01T20:42:40.940Z,raw/pacifica/full_fidelity/channel=prices/symbol=SOL/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256
SOL,2026-05-01,trades,raw/pacifica/full_fidelity/channel=trades/symbol=SOL/date=2026-05-01/run-20260501T103545Z.jsonl.gz,304,2026-05-01T21:11:39.956Z,raw/pacifica/full_fidelity/channel=trades/symbol=SOL/date=2026-05-01/run-20260501T103545Z.jsonl.gz.sha256
2Z,2026-04-30,bbo,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,785126,2026-05-01T18:32:37.240Z,raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz.sha256
2Z,2026-04-30,trades,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,74540,2026-05-01T21:04:05.352Z,raw/pacifica/full_fidelity/channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz.sha256
