channel,date,symbol,payload_objects,payload_bytes,hours,latest_mod_time
bbo,2026-05-13,BTC,13,50008244,13,2026-05-13T12:24:52+0000
book,2026-05-13,ETH,13,16025261,13,2026-05-13T12:24:52+0000
candle,2026-05-13,BTC,13,3197982,13,2026-05-13T12:23:17+0000
mark_price_candle,2026-05-13,ICP,13,27816307,13,2026-05-13T12:24:51+0000
prices,2026-05-13,BTC,13,1032004,13,2026-05-13T12:24:44+0000
trades,2026-05-13,BTC,13,296237,13,2026-05-13T12:23:17+0000
bbo,2026-05-12,BTC,27,63298129,24,2026-05-12T23:59:55+0000
book,2026-05-12,ETH,27,27683776,24,2026-05-12T23:59:55+0000
candle,2026-05-12,BTC,46,5366038,24,2026-05-13T00:00:23+0000
mark_price_candle,2026-05-12,ICP,40,48128226,24,2026-05-12T23:59:55+0000
prices,2026-05-12,BTC,27,1742846,24,2026-05-12T23:59:46+0000
trades,2026-05-12,BTC,27,506574,24,2026-05-12T23:59:11+0000
