key,size_bytes,mod_time
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz.sha256,96,2026-05-01T18:32:37.961Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,785126,2026-05-01T18:32:37.240Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz.sha256,96,2026-05-01T22:07:51.790Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz,13551,2026-05-01T21:51:44.664Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T215139Z.jsonl.gz.sha256,96,2026-05-01T22:07:52.662Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T215139Z.jsonl.gz,34700,2026-05-01T22:07:52.315Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz.sha256,96,2026-05-01T22:07:53.443Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,287,2026-05-01T22:07:53.123Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T220740Z.jsonl.gz.sha256,96,2026-05-01T22:59:19.427Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T220740Z.jsonl.gz,91067,2026-05-01T22:59:16.681Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=23/run-20260501T220740Z.jsonl.gz.sha256,96,2026-05-01T23:56:04.376Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/hour=23/run-20260501T220740Z.jsonl.gz,94693,2026-05-01T23:56:02.221Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260430T212120Z.jsonl.gz.sha256,96,2026-05-01T18:32:40.122Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260430T212120Z.jsonl.gz,2579899,2026-05-01T18:32:39.432Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz.sha256,96,2026-05-01T18:32:41.680Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz,17788,2026-05-01T18:32:40.973Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz.sha256,96,2026-05-01T18:32:43.131Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,21428,2026-05-01T18:32:42.476Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260501T101607Z.jsonl.gz.sha256,96,2026-05-01T18:32:44.923Z
raw/pacifica/full_fidelity/channel=bbo/symbol=2Z/date=2026-05-01/run-20260501T101607Z.jsonl.gz,543,2026-05-01T18:32:44.152Z
